course_code,module,status,progress,deadline,notes
RISQ2014-1,Introduction aux risques,Noté,20,2025-11-15,Premières lectures faites
ENVT0846-2,Introduction à l'anthropocène,En cours,40,2025-10-30,Compléter bibliographie
